City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
72,bayeux,BR,-7.125,-34.9322,83.03,65,75,13.8,broken clouds
73,baraut,IN,29.1,77.2667,88.77,57,100,4.09,overcast clouds
74,georgetown,MY,5.4112,100.3354,83.89,80,20,3.44,moderate rain
75,tuktoyaktuk,CA,69.4541,-133.0374,59.0,88,100,6.91,overcast clouds
76,shimoda,JP,34.6667,138.95,74.1,88,84,5.59,broken clouds
77,dali,CN,25.7,100.1833,64.18,86,32,1.59,scattered clouds
78,coihaique,CL,-45.5752,-72.0662,34.41,74,100,3.44,overcast clouds
79,springfield,US,37.2153,-93.2982,83.43,79,0,11.5,clear sky
80,papara,BR,-3.9839,-38.7273,84.96,56,43,10.25,scattered clouds
81,aklavik,CA,68.2191,-135.0107,55.4,94,100,10.36,light rain
82,lorengau,PG,-2.0226,147.2712,80.56,77,100,4.12,overcast clouds
83,ginir,ET,7.1333,40.7,70.39,47,62,12.03,broken clouds
84,saskylakh,RU,71.9167,114.0833,50.59,60,100,8.52,overcast clouds
85,guerrero negro,MX,27.9769,-114.0611,72.19,83,97,11.12,overcast clouds
86,pisco,PE,-13.7,-76.2167,61.02,77,100,3.44,mist
87,te anau,NZ,-45.4167,167.7167,45.1,93,97,3.42,light rain
